"site","species","count","foraging","diet"
23,"bhco",1,"ground","omnivore"
23,"cach",2,"foliage","insectivore"
23,"carw",1,"ground","insectivore"
23,"dowo",1,"bark","insectivore"
23,"ficr",2,"ground","omnivore"
23,"modo",1,"ground","granivore"
23,"noca",3,"ground","omnivore"
23,"rbwo",1,"bark","omnivore"
23,"tuti",6,"foliage","insectivore"
24,"amro",2,"ground","omnivore"
24,"hofi",3,"ground","granivore"
24,"noca",2,"ground","omnivore"
25,"amro",8,"ground","omnivore"
25,"cogr",4,"ground","omnivore"
25,"hofi",3,"ground","granivore"
25,"noca",0,"ground","omnivore"
25,"nomo",1,"ground","omnivore"
25,"oror",1,"foliage","omnivore"
26,"amcr",5,"ground","omnivore"
26,"carw",1,"ground","insectivore"
26,"eabl",1,"aerial","insectivore"
26,"inbu",2,"ground","omnivore"
26,"noca",2,"ground","omnivore"
26,"tuti",1,"foliage","insectivore"
26,"ysfl",1,"ground","insectivore"
27,"amgo",1,"foliage","granivore"
27,"amro",1,"ground","omnivore"
27,"bhco",1,"ground","omnivore"
27,"cach",2,"foliage","insectivore"
27,"carw",1,"ground","insectivore"
27,"grca",1,"ground","omnivore"
27,"hofi",1,"ground","granivore"
27,"howr",2,"ground","insectivore"
27,"noca",7,"ground","omnivore"
27,"sosp",1,"ground","omnivore"
27,"tuti",1,"foliage","insectivore"
28,"amro",3,"ground","omnivore"
28,"bhco",2,"ground","omnivore"
28,"carw",1,"ground","insectivore"
28,"cogr",1,"ground","omnivore"
28,"grca",3,"ground","omnivore"
28,"howr",1,"ground","insectivore"
28,"modo",1,"ground","granivore"
28,"noca",3,"ground","omnivore"
28,"oven",1,"ground","insectivore"
28,"piwo",1,"bark","insectivore"
28,"tuti",2,"foliage","insectivore"
28,"wbnu",2,"bark","insectivore"
29,"amro",5,"ground","omnivore"
29,"cach",4,"foliage","insectivore"
29,"carw",1,"ground","insectivore"
29,"dowo",1,"bark","insectivore"
29,"grca",2,"ground","omnivore"
29,"howr",1,"ground","insectivore"
29,"noca",7,"ground","omnivore"
29,"tuti",3,"foliage","insectivore"
30,"amgo",1,"foliage","granivore"
30,"cach",2,"foliage","insectivore"
30,"cogr",27,"ground","omnivore"
30,"grca",1,"ground","omnivore"
30,"hofi",1,"ground","granivore"
30,"howr",1,"ground","insectivore"
30,"noca",3,"ground","omnivore"
31,"amcr",1,"ground","omnivore"
31,"amro",1,"ground","omnivore"
31,"noca",2,"ground","omnivore"
31,"revi",1,"foliage","insectivore"
31,"wbnu",1,"bark","insectivore"
32,"amcr",1,"ground","omnivore"
32,"amro",2,"ground","omnivore"
32,"bhco",1,"ground","omnivore"
32,"cach",2,"foliage","insectivore"
32,"carw",1,"ground","insectivore"
32,"chsp",2,"ground","omnivore"
32,"grca",2,"ground","omnivore"
32,"howr",1,"ground","insectivore"
32,"noca",1,"ground","omnivore"
32,"rbwo",1,"bark","omnivore"
32,"tuti",1,"foliage","insectivore"
32,"ysfl",1,"ground","insectivore"
33,"amro",2,"ground","omnivore"
